Time (Sec);S41;S42;S43;S44;S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S4;S40;S5;S6;S7;S8;S9;
40800.0;35640.0;35640.0;35640.0;35640.0;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;35639.07389439957;
40800.0;35640.0;35640.0;35640.0;35640.0;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;
40800.38454279444;35640.0;35640.0;35640.0;35640.0;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;
41100.0;35640.0;35640.0;35640.0;35640.0;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;35639.067084799564;
41100.0;35640.0;35640.0;35640.0;35640.0;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;
41100.38454279444;35640.0;35640.0;35640.0;35640.0;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;
41400.0;35640.0;35640.0;35640.0;35640.0;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;35639.06027519956;
41400.0;35640.0;35640.0;35640.0;35640.0;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;
41400.38454279444;35640.0;35640.0;35640.0;35640.0;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;
41700.0;35640.0;35640.0;35640.0;35640.0;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;35639.05346559956;
